Using device: cpu
--- Dataset Loaded ---
Epoch 1 | Train Loss: 0.0207 | Test Loss: 0.0065
Epoch 2 | Train Loss: 0.0055 | Test Loss: 0.0045
Epoch 3 | Train Loss: 0.0043 | Test Loss: 0.0037
Epoch 4 | Train Loss: 0.0037 | Test Loss: 0.0033
Epoch 5 | Train Loss: 0.0033 | Test Loss: 0.0031
Epoch 6 | Train Loss: 0.0031 | Test Loss: 0.0028
Epoch 7 | Train Loss: 0.0028 | Test Loss: 0.0026
Epoch 8 | Train Loss: 0.0027 | Test Loss: 0.0025
Epoch 9 | Train Loss: 0.0025 | Test Loss: 0.0023
Epoch 10 | Train Loss: 0.0024 | Test Loss: 0.0023
Saved model as cnn_autoencoder.pth
